Rank	Russian	English	POS	Notes	Pair
200	рассказа́ть	to tell / narrate	verb	pf	расска́зывать (impf)
201	сле́довать	to follow	verb	impf	после́довать (pf)
202	тру́дный	difficult	adjective		
203	усло́вие	condition	noun	n	
204	че́рез	through / across	preposition		
205	зре́ние	sight / vision	noun	n	
206	кни́га	book	noun	f	
207	о́бщий	general / common	adjective		
208	показа́ть	to show	verb	pf	пока́зывать (impf)
209	про́сьба	request	noun	f	
210	брат	brother	noun	m	
211	ждать	to wait	verb	impf	подожда́ть (pf)
212	зада́ча	task / problem	noun	f	
213	интере́сный	interesting	adjective		
214	ка́ждый	each / every	pronoun		
215	класс	class	noun	m	
216	мину́та	minute	noun	f	
217	наро́д	people / nation	noun	m	
218	нести́	to carry	verb	impf	понести́ (pf)
219	ночь	night	noun	f	
220	о́бщество	society	noun	n	
221	де́сять	ten	numeral		
222	око́нчить	to finish	verb	pf	ока́нчивать (impf)
223	осо́бенно	especially	adverb		
224	помо́чь	to help	verb	pf	помога́ть (impf)
225	поря́док	order	noun	m	
226	ра́зный	different / various	adjective		
227	сча́стье	happiness	noun	n	
228	уро́вень	level	noun	m	
229	цель	goal / aim	noun	f	
230	чёрный	black	adjective		
231	чита́ть	to read	verb	impf	прочита́ть (pf)
232	де́рево	tree	noun	n	
233	доста́ть	to get / obtain	verb	pf	достава́ть (impf)
234	зако́н	law	noun	m	
235	иногда́	sometimes	adverb		
236	край	edge / region	noun	m	
237	де́ти	children	noun	pl	
238	кровь	blood	noun	f	
239	лежа́ть	to lie / be lying	verb	impf	
240	ме́тод	method	noun	m	
241	наприме́р	for example	parenthetical		
242	но́мер	number	noun	m	
243	о́браз	image / manner	noun	m	
244	па́лец	finger	noun	m	
245	приро́да	nature	noun	f	
246	про́шлый	past / last	adjective		
247	разви́тие	development	noun	n	
248	результа́т	result	noun	m	
249	свет	light	noun	m	
250	се́рдце	heart	noun	n	
251	сле́дующий	next / following	adjective		
252	слы́шать	to hear	verb	impf	услы́шать (pf)
253	ве́чер	evening	noun	m	
254	смотре́ть	to look / watch	verb	impf	посмотре́ть (pf)
255	со́лнце	sun	noun	n	
256	среда́	environment / Wed.	noun	f	
257	ста́рый	old	adjective		
258	сын	son	noun	m	
259	уче́ный	scientist / learned	noun/adj	m	
260	фо́рма	form / shape	noun	f	
261	хле́б	bread	noun	m	
262	цена́	price	noun	f	
263	часть	part	noun	f	
264	е́хать	to go (by vehicle)	verb	impf	пое́хать (pf)
265	чу́вство	feeling	noun	n	
266	беда́	misfortune	noun	f	
267	бить	to beat / hit	verb	impf	
268	бли́зкий	close / near	adjective		
269	бо́же	God (voc.)	noun	m	
270	бок	side / flank	noun	m	
271	боро́ться	to fight / struggle	verb	impf	
272	бу́дущее	future	noun	n	
273	ва́жный	important	adjective		
274	век	century / age	noun	m	
275	верну́ться	to return	verb	pf	возвраща́ться (impf)
276	ве́тер	wind	noun	m	
277	взгляд	glance / view	noun	m	
278	вид	view / appearance	noun	m	
279	вмести́ть	to contain / fit	verb	pf	вмеща́ть (impf)
280	вообрази́ть	to imagine	verb	pf	вообража́ть (impf)
281	воро́та	gate	noun	pl	
282	впро́чем	however	parenthetical		
283	враги́	enemies	noun	m pl	
284	враг	enemy	noun	m	
285	шесть	six	numeral		
286	встать	to stand up	verb	pf	встава́ть (impf)
287	встре́тить	to meet	verb	pf	встреча́ть (impf)
288	вы́звать	to call / summon	verb	pf	вызыва́ть (impf)
289	вы́йти	to go out / exit	verb	pf	выходи́ть (impf)
290	вы́расти	to grow up	verb	pf	выраста́ть (impf)
291	газе́та	newspaper	noun	f	
292	где́-то	somewhere	adverb		
293	геро́й	hero	noun	m	
294	глубо́кий	deep	adjective		
295	гора́	mountain	noun	f	
296	горе́ть	to burn	verb	impf	сгоре́ть (pf)
297	горя́чий	hot	adjective		
298	госуда́рство	state	noun	n	
299	гото́вый	ready	adjective		
300	грани́ца	border	noun	f	
301	семь	seven	numeral		
302	грудь	chest / breast	noun	f	
303	грязь	dirt / mud	noun	f	
304	да́же	even	particle		
305	да́льше	further	adverb		
306	дви́гаться	to move	verb	impf	дви́нуться (pf)
307	движе́ние	movement	noun	n	
308	двор	yard / court	noun	m	
309	де́вочка	girl (child)	noun	f	
310	де́вушка	young woman	noun	f	
311	де́йствие	action	noun	n	
312	действи́тельно	really / indeed	adverb		
313	де́лать	to do / make	verb	impf	сде́лать (pf)
314	держа́ться	to hold on	verb	impf	
315	деся́ток	ten / group of ten	noun	m	
316	во́семь	eight	numeral		
317	де́тство	childhood	noun	n	
318	длина́	length	noun	f	
319	дли́нный	long	adjective		
320	до́брый	kind / good	adjective		
321	дово́льно	rather / enough	adverb		
322	дождь	rain	noun	m	
323	доказа́ть	to prove	verb	pf	дока́зывать (impf)
324	до́лжность	position / post	noun	f	
325	доро́га	road	noun	f	
326	дорого́й	expensive / dear	adjective		
327	де́вять	nine	numeral		
328	доста́точно	enough	adverb		
329	дочь	daughter	noun	f	
330	друг	friend	noun	m	
331	дру́жба	friendship	noun	f	
332	ду́ма	thought / Duma	noun	f	
333	душа́	soul	noun	f	
334	дя́дя	uncle	noun	m	
335	еда́	food	noun	f	
336	еди́нственный	only / sole	adjective		
337	е́здить	to go (by vehicle)	verb	impf	
338	вчера́	yesterday	adverb		
339	есть	to eat / there is	verb	impf	съесть (pf)
340	ещё раз	once more	adverb		
341	жаль	pity / sorry	predicative		
342	жела́ние	wish / desire	noun	n	
343	жёлтый	yellow	adjective		
344	жена́	wife	noun	f	
345	же́нский	female / women's	adjective		
346	живо́й	alive / living	adjective		
347	живо́тное	animal	noun	n	
348	бы́стро	quickly	adverb		
349	забо́та	care / concern	noun	f	
350	забы́ть	to forget	verb	pf	забыва́ть (impf)
351	зави́сеть	to depend	verb	impf	
352	заво́д	factory / plant	noun	m	
353	за́втра	tomorrow	adverb		
354	зада́ть	to set / pose	verb	pf	задава́ть (impf)
355	зака́з	order (commercial)	noun	m	
356	закры́ть	to close	verb	pf	закрыва́ть (impf)
357	замети́ть	to notice	verb	pf	замеча́ть (impf)
358	занима́ться	to be occupied with	verb	impf	заня́ться (pf)
359	пло́хо	badly	adverb		
360	за́пад	west	noun	m	
361	запи́ска	note	noun	f	
362	зато́	on the other hand	conjunction		
363	зайти́	to drop by / call in	verb	pf	заходи́ть (impf)
364	звать	to call / name	verb	impf	позва́ть (pf)
365	звезда́	star	noun	f	
366	звук	sound	noun	m	
367	зда́ние	building	noun	n	
368	здоро́вье	health	noun	n	
369	здра́вствуй	hello	interjection		
370	заче́м	what for	adverb		
371	зелёный	green	adjective		
372	зима́	winter	noun	f	
373	знако́мый	familiar / acquaintance	adjective		
374	зна́ние	knowledge	noun	n	
375	значе́ние	meaning / significance	noun	n	
376	золото́й	golden	adjective		
377	зуб	tooth	noun	m	
378	игра́	game	noun	f	
379	игра́ть	to play	verb	impf	сыгра́ть (pf)
380	иде́я	idea	noun	f	
381	отку́да	from where	adverb		
382	измени́ть	to change	verb	pf	изменя́ть (impf)
383	изуча́ть	to study	verb	impf	изучи́ть (pf)
384	вокру́г	around	preposition		
385	ина́че	otherwise	adverb		
386	интере́с	interest	noun	m	
387	иска́ть	to look for	verb	impf	
388	иску́сство	art	noun	n	
389	испо́льзовать	to use	verb	biasp	
390	исто́рия	history / story	noun	f	
391	каби́нет	office / study	noun	m	
392	наве́рное	probably	parenthetical		
393	ка́мень	stone	noun	m	
394	карти́на	picture / painting	noun	f	
395	ка́рта	map / card	noun	f	
396	ка́чество	quality	noun	n	
397	кварти́ра	apartment	noun	f	
398	кино́	cinema / movie	noun	n	
399	класть	to put / lay	verb	impf	положи́ть (pf)
400	ключ	key	noun	m	
401	телефо́н	telephone	noun	m	
402	кни́жка	little book	noun	f	
403	коли́чество	quantity	noun	n	
404	кома́нда	team / command	noun	f	
405	ко́мната	room	noun	f	
406	коне́чно	of course	parenthetical		
407	копе́йка	kopeck	noun	f	
408	коро́ткий	short	adjective		
409	костю́м	suit / costume	noun	m	
410	краси́вый	beautiful	adjective		
411	кра́сный	red	adjective		
412	кре́пкий	strong / firm	adjective		
413	крик	shout / cry	noun	m	
414	крича́ть	to shout	verb	impf	кри́кнуть (pf)
415	кро́ме	except / besides	preposition		
416	круг	circle	noun	m	
417	круго́м	around	adverb		
418	кры́ша	roof	noun	f	
419	кто	who	pronoun		
420	легко́	easily	adverb		
421	кто́-то	someone	pronoun		
422	куда́	where to	adverb		
423	кула́к	fist	noun	m	
424	культу́ра	culture	noun	f	
425	купи́ть	to buy	verb	pf	покупа́ть (impf)
426	кусо́к	piece	noun	m	
427	ла́дно	all right / okay	particle		
428	лес	forest	noun	m	
429	лёгкий	light / easy	adjective		
430	магази́н	shop / store	noun	m	
431	опя́ть	again	adverb		
432	ле́то	summer	noun	n	
433	лицо́	face / person	noun	n	
434	ли́чный	personal	adjective		
435	лишь	only / merely	particle		
436	лоб	forehead	noun	m	
437	ло́жка	spoon	noun	f	
438	ло́шадь	horse	noun	f	
439	лу́чший	best	adjective		
440	люби́ть	to love	verb	impf	полюби́ть (pf)
441	любо́вь	love	noun	f	
442	любо́й	any	pronoun		
443	лю́ди	people	noun	pl	
444	ма́льчик	boy	noun	m	
445	маши́на	car / machine	noun	f	
446	ме́дленно	slowly	adverb		
447	ме́жду	between	preposition		
448	ме́лкий	small / fine	adjective		
449	ме́ра	measure	noun	f	
450	мёртвый	dead	adjective		
451	ча́й	tea	noun	m	
452	ме́сяц	month	noun	m	
453	ми́лый	dear / nice	adjective		
454	млн	million	noun	m	
455	мно́гие	many	pronoun		
456	мо́ре	sea	noun	n	
457	моро́з	frost	noun	m	
458	мост	bridge	noun	m	
459	му́ж	husband	noun	m	
460	мужчи́на	man	noun	m	
461	му́зыка	music	noun	f	
462	на́до	must / need to	predicative		
463	наде́жда	hope	noun	f	
464	наза́д	back / ago	adverb		
465	назва́ние	name / title	noun	n	
466	называ́ть	to call / name	verb	impf	назва́ть (pf)
467	наконе́ц	finally	adverb		
468	нале́во	to the left	adverb		
469	написа́ть	to write	verb	pf	писа́ть (impf)
470	авто́бус	bus	noun	m	
471	направле́ние	direction	noun	n	
472	напра́во	to the right	adverb		
473	наступи́ть	to step / set in	verb	pf	наступа́ть (impf)
474	нау́ка	science	noun	f	
475	находи́ть	to find	verb	impf	найти́ (pf)
476	находи́ться	to be located	verb	impf	
477	не́бо	sky / heaven	noun	n	
478	неве́домый	unknown	adjective		
479	компью́тер	computer	noun	m	
480	неда́вно	recently	adverb		
481	не́жный	tender / gentle	adjective		
482	не́который	some / certain	pronoun		
483	немно́го	a little	adverb		
484	неожи́данно	unexpectedly	adverb		
485	не́сколько	several	pronoun		
486	ни́зкий	low	adjective		
487	никако́й	no / none	pronoun		
488	никогда́	never	adverb		
489	никто́	no one	pronoun		
490	ничего́	nothing	pronoun		
491	но́вость	news	noun	f	
492	но́рма	norm	noun	f	
493	носи́ть	to wear / carry	verb	impf	
494	ночно́й	night (adj.)	adjective		
495	молоко́	milk	noun	n	
496	нра́виться	to please / like	verb	impf	понра́виться (pf)
497	обе́д	lunch / dinner	noun	m	
498	о́бласть	region / field	noun	f	
499	обрати́ть	to turn / direct	verb	pf	обраща́ть (impf)
500	обы́чно	usually	adverb		
501	обяза́тельно	necessarily	adverb		
502	ого́нь	fire	noun	m	
503	огро́мный	huge	adjective		
504	оде́жда	clothing	noun	f	
505	одна́жды	once / one day	adverb		
506	одна́ко	however	conjunction		
507	око́нчательно	finally / definitively	adverb		
508	окно́	window	noun	n	
509	окружа́ть	to surround	verb	impf	окружи́ть (pf)
510	опа́сный	dangerous	adjective		
511	опи́сывать	to describe	verb	impf	описа́ть (pf)
512	определи́ть	to determine	verb	pf	определя́ть (impf)
513	опуска́ть	to lower	verb	impf	опусти́ть (pf)
514	о́пыт	experience / experiment	noun	m	
515	организа́ция	organization	noun	f	
516	метро́	metro / subway	noun	n	
517	ору́жие	weapon	noun	n	
518	о́сень	autumn	noun	f	
519	основа́ние	foundation / basis	noun	n	
520	осо́бый	special	adjective		
521	остава́ться	to remain	verb	impf	оста́ться (pf)
522	оста́вить	to leave (behind)	verb	pf	оставля́ть (impf)
523	остально́й	the rest	adjective		
524	останови́ться	to stop	verb	pf	остана́вливаться (impf)
525	о́стрый	sharp	adjective		
526	отвести́	to lead away	verb	pf	отводи́ть (impf)
527	телеви́зор	television	noun	m	
528	отве́т	answer	noun	m	
529	отве́тить	to answer	verb	pf	отвеча́ть (impf)
530	отда́ть	to give back	verb	pf	отдава́ть (impf)
531	отде́льный	separate	adjective		
532	откры́тый	open	adjective		
533	отноше́ние	relation / attitude	noun	n	
534	относи́ться	to relate / treat	verb	impf	отнести́сь (pf)
535	отпра́вить	to send	verb	pf	отправля́ть (impf)
536	отсю́да	from here	adverb		
537	ко́фе	coffee	noun	m	
538	отту́да	from there	adverb		
539	официа́льный	official	adjective		
540	о́чередь	queue / turn	noun	f	
541	о́чень	very	adverb		
542	оши́бка	mistake	noun	f	
543	па́дать	to fall	verb	impf	упа́сть (pf)
544	па́ра	pair / couple	noun	f	
545	па́рень	guy / lad	noun	m	
546	па́ртия	party / batch	noun	f	
547	перее́хать	to move / cross	verb	pf	переезжа́ть (impf)
548	мя́со	meat	noun	n	
549	перо́	feather / pen	noun	n	
550	петь	to sing	verb	impf	спеть (pf)
551	печа́ль	sorrow	noun	f	
552	пи́сьмо	letter	noun	n	
553	пить	to drink	verb	impf	вы́пить (pf)
554	план	plan	noun	m	
555	плати́ть	to pay	verb	impf	заплати́ть (pf)
556	пла́тье	dress	noun	n	
557	плечо́	shoulder	noun	n	
558	плохо́й	bad	adjective		
559	гуля́ть	to stroll / walk	verb	impf	погуля́ть (pf)
560	пло́щадь	square / area	noun	f	
561	побе́да	victory	noun	f	
562	поверну́ть	to turn	verb	pf	повора́чивать (impf)
563	поведе́ние	behavior	noun	n	
564	повтори́ть	to repeat	verb	pf	повторя́ть (impf)
565	пого́да	weather	noun	f	
566	подня́ть	to lift / raise	verb	pf	поднима́ть (impf)
567	подня́ться	to rise	verb	pf	поднима́ться (impf)
568	подойти́	to approach	verb	pf	подходи́ть (impf)
569	ку́хня	kitchen	noun	f	
570	подру́га	(female) friend	noun	f	
571	по́езд	train	noun	m	
572	пое́хать	to go (by vehicle)	verb	pf	е́хать (impf)
573	пожа́луйста	please	particle		
574	позвони́ть	to call (phone)	verb	pf	звони́ть (impf)
575	по́здно	late	adverb		
576	познако́миться	to get acquainted	verb	pf	знако́миться (impf)
577	пойти́	to go	verb	pf	идти́ (impf)
578	пока́	while / bye	conjunction		
579	рестора́н	restaurant	noun	m	
580	показа́ться	to seem / appear	verb	pf	каза́ться (impf)
581	поко́й	peace / rest	noun	m	
582	поколе́ние	generation	noun	n	
583	по́ле	field	noun	n	
584	поле́зно	useful(ly)	adverb		
585	по́лзать	to crawl	verb	impf	
586	поли́тика	politics / policy	noun	f	
587	полага́ть	to suppose	verb	impf	
588	положе́ние	situation / position	noun	n	
589	за́втрак	breakfast	noun	m	
590	положи́ть	to put / lay	verb	pf	класть (impf)
591	получи́ть	to receive / get	verb	pf	получа́ть (impf)
592	по́льза	benefit / use	noun	f	
593	помога́ть	to help	verb	impf	помо́чь (pf)
594	по́мощь	help / aid	noun	f	
595	понима́ть	to understand	verb	impf	поня́ть (pf)
596	поня́тно	clear / understood	predicative		
597	поня́тие	concept / notion	noun	n	
598	попа́сть	to get / hit	verb	pf	попада́ть (impf)
599	по-пре́жнему	as before	adverb		
600	пора́	it is time	predicative		
601	поро́г	threshold	noun	m	
602	посёлок	settlement	noun	m	
603	после́дний	last	adjective		
604	посмотре́ть	to look / watch	verb	pf	смотре́ть (impf)
605	по́сле того́ как	after	conjunction		
606	посреди́	in the middle of	preposition		
607	поста́вить	to put / set	verb	pf	ста́вить (impf)
608	постоя́нно	constantly	adverb		
609	отдыха́ть	to rest	verb	impf	отдохну́ть (pf)
610	поступи́ть	to act / enroll	verb	pf	поступа́ть (impf)
611	потеря́ть	to lose	verb	pf	теря́ть (impf)
612	пото́к	flow / stream	noun	m	
613	потому́ что	because	conjunction		
614	пото́м	then / later	adverb		
615	похо́жий	similar	adjective		
616	поэ́т	poet	noun	m	
617	появи́ться	to appear	verb	pf	появля́ться (impf)
618	пра́вда	truth	noun	f	
619	пра́вило	rule	noun	n	
620	по́чта	post / mail	noun	f	
621	прави́тельство	government	noun	n	
622	пра́во	right / law	noun	n	
623	пра́вый	right (side)	adjective		
624	пра́здник	holiday	noun	m	
625	практи́чески	practically	adverb		
626	предложи́ть	to offer / propose	verb	pf	предлага́ть (impf)
627	предме́т	object / subject	noun	m	
628	предста́вить	to present / imagine	verb	pf	представля́ть (impf)
629	предприя́тие	enterprise	noun	n	
630	пре́жде	before / formerly	adverb		
631	кафе́	cafe	noun	n	
632	прекра́сный	beautiful / splendid	adjective		
633	преступле́ние	crime	noun	n	
634	прибли́зиться	to draw near	verb	pf	приближа́ться (impf)
635	привести́	to bring / lead	verb	pf	приводи́ть (impf)
636	привы́чка	habit	noun	f	
637	пригото́вить	to prepare	verb	pf	гото́вить (impf)
638	призна́ть	to acknowledge	verb	pf	признава́ть (impf)
639	прика́з	order / command	noun	m	
640	приме́р	example	noun	m	
641	крова́ть	bed	noun	f	
642	принима́ть	to accept / take	verb	impf	приня́ть (pf)
643	принести́	to bring	verb	pf	приноси́ть (impf)
644	приня́ть	to accept	verb	pf	принима́ть (impf)
645	приходи́ть	to come / arrive	verb	impf	прийти́ (pf)
646	причи́на	reason / cause	noun	f	
647	прия́тный	pleasant	adjective		
648	пробле́ма	problem	noun	f	
649	прове́рить	to check	verb	pf	проверя́ть (impf)
650	проводи́ть	to conduct / see off	verb	impf	провести́ (pf)
651	продолжа́ть	to continue	verb	impf	продо́лжить (pf)
652	произведе́ние	work (of art)	noun	n	
653	произво́дство	production	noun	n	
654	произойти́	to happen / occur	verb	pf	происходи́ть (impf)
655	пройти́	to pass / go through	verb	pf	проходи́ть (impf)
656	проси́ть	to ask / request	verb	impf	попроси́ть (pf)
657	просну́ться	to wake up	verb	pf	просыпа́ться (impf)
658	просто́й	simple	adjective		
659	простра́нство	space	noun	n	
660	профе́ссор	professor	noun	m	
661	гости́ница	hotel	noun	f	
662	прохо́дить	to pass / go through	verb	impf	пройти́ (pf)
663	проце́сс	process	noun	m	
664	про́шлое	the past	noun	n	
665	прямо́й	straight / direct	adjective		
666	пря́мо	straight / directly	adverb		
667	пти́ца	bird	noun	f	
668	пусть	let / may	particle		
669	путь	way / path	noun	m	
670	пыта́ться	to try / attempt	verb	impf	попыта́ться (pf)
671	пье́са	play (theater)	noun	f	
672	пятна́дцать	fifteen	numeral		
673	рабо́чий	worker / working	noun/adj	m	
674	ра́вный	equal	adjective		
675	рад	glad	adjective	short adj	
676	ра́ди	for the sake of	preposition		
677	ра́дость	joy	noun	f	
678	развива́ть	to develop	verb	impf	разви́ть (pf)
679	ра́зве	really? / surely	particle		
680	апте́ка	pharmacy	noun	f	
681	разгово́р	conversation	noun	m	
682	разли́чный	various	adjective		
683	разме́р	size	noun	m	
684	райо́н	district	noun	m	
685	ра́но	early	adverb		
686	ра́ньше	earlier / before	adverb		
687	расска́з	story / tale	noun	m	
688	расти́	to grow	verb	impf	вы́расти (pf)
689	ребёнок	child	noun	m	
690	ребя́та	guys / kids	noun	pl	
691	река́	river	noun	f	
692	реше́ние	decision / solution	noun	n	
693	реши́ть	to decide / solve	verb	pf	реша́ть (impf)
694	рису́нок	drawing	noun	m	
695	род	kind / genus	noun	m	
696	роди́тель	parent	noun	m	
697	роди́ться	to be born	verb	pf	рожда́ться (impf)
698	ро́дина	homeland	noun	f	
699	ро́дной	native / dear	adjective		
700	рожде́ние	birth	noun	n	
701	роль	role	noun	f	
702	рома́н	novel	noun	m	
703	росси́йский	Russian (state)	adjective		
704	рост	growth / height	noun	m	
705	рот	mouth	noun	m	
706	руба́шка	shirt	noun	f	
707	рубль	ruble	noun	m	
708	руководи́тель	leader / head	noun	m	
709	ру́сский	Russian	adjective		
710	ру́чка	pen / handle	noun	f	
711	ры́ба	fish	noun	f	
712	ряд	row / series	noun	m	
713	ря́дом	nearby	adverb		
714	сад	garden	noun	m	
715	сади́ться	to sit down	verb	impf	сесть (pf)
716	самолёт	airplane	noun	m	
717	са́мый	the most	pronoun		
718	све́жий	fresh	adjective		
719	све́рху	from above	adverb		
720	фру́кты	fruit	noun	pl	
721	свобо́да	freedom	noun	f	
722	свобо́дный	free	adjective		
723	свой	one's own	pronoun		
724	свя́занный	connected	adjective		
725	связь	connection / link	noun	f	
726	се́вер	north	noun	m	
727	сего́дня	today	adverb		
728	секу́нда	second	noun	f	
729	село́	village	noun	n	
730	семья́	family	noun	f	
731	се́рый	gray	adjective		
732	серьёзный	serious	adjective		
733	сестра́	sister	noun	f	
734	сесть	to sit down	verb	pf	сади́ться (impf)
735	си́льно	strongly	adverb		
736	си́ний	dark blue	adjective		
